country_code,country_name
AFE,Africa Eastern and Southern
AFW,Africa Western and Central
ARB,Arab World
CEB,Central Europe and the Baltics
CSS,Caribbean small states
EAP,East Asia & Pacific (excluding high income)
EAR,Early-demographic dividend
ECA,Europe & Central Asia (excluding high income)
EMU,Euro area
EUU,European Union
FCS,Fragile and conflict affected situations
HPC,Heavily indebted poor countries (HIPC)
IBD,IBRD only
TEA,East Asia & Pacific (IDA & IBRD countries)
TEC,Europe & Central Asia (IDA & IBRD countries)
