year,temp_anomaly_c,temp_anomaly_rolling10y,anomaly_tier
1970,0.03,,Low
1971,-0.08,,Negative
1972,0.01,,Low
1973,0.16,,Low
1974,-0.07,0.01,Negative
1975,-0.01,0.0067,Negative
1976,-0.1,-0.0086,Negative
1977,0.18,0.015,Low
1978,0.07,0.0211,Low
1979,0.16,0.035,Low
1980,0.26,0.058,Low
1981,0.32,0.098,Low
1982,0.14,0.111,Low
1983,0.31,0.126,Low
1984,0.16,0.149,Low
1985,0.12,0.162,Low
1986,0.18,0.19,Low
1987,0.32,0.204,Low
1988,0.39,0.236,Low
1989,0.27,0.247,Low
1990,0.45,0.266,Low
1991,0.4,0.274,Low
1992,0.22,0.282,Low
1993,0.23,0.274,Low
1994,0.31,0.289,Low
1995,0.44,0.321,Low
1996,0.33,0.336,Low
1997,0.46,0.35,Low
1998,0.61,0.372,Moderate
1999,0.38,0.383,Low
2000,0.39,0.377,Low
2001,0.53,0.39,Moderate
2002,0.63,0.431,Moderate
2003,0.61,0.469,Moderate
2004,0.53,0.491,Moderate
2005,0.68,0.515,Moderate
2006,0.64,0.546,Moderate
2007,0.66,0.566,Moderate
2008,0.54,0.559,Moderate
2009,0.66,0.587,Moderate
2010,0.72,0.62,Moderate
2011,0.61,0.628,Moderate
2012,0.64,0.629,Moderate
2013,0.68,0.636,Moderate
2014,0.75,0.658,Moderate
2015,0.9,0.68,Moderate
2016,1.01,0.717,High
2017,0.92,0.743,Moderate
2018,0.85,0.774,Moderate
2019,0.98,0.806,Moderate
2020,1.01,0.835,High
2021,0.85,0.859,Moderate
2022,0.89,0.884,Moderate
2023,1.17,0.933,High
2024,1.29,0.987,High
2025,1.19,1.016,High
